Ref_seq	Species	Genus	Family	Order	Class
281RhoC06	Rhoicosphenia_abbreviata	Rhoicosphenia	Rhoicospheniaceae		Bacillariophyceae
718RhoK13	Rhoicosphenia_abbreviata	Rhoicosphenia	Rhoicospheniaceae		Bacillariophyceae
710SelK12	Sellaphora_joubaudii	Sellaphora	Sellaphoraceae		Bacillariophyceae
752StaR05	Stauroneis_phoenicenteron	Stauroneis	Stauroneidaceae		Bacillariophyceae
475StaR03	Staurosira	Staurosira	Fragilariaceae		Bacillariophyceae
508StaR04	Staurosira	Staurosira	Fragilariaceae		Bacillariophyceae
645StaK06	Staurosira_pseudoconstruens	Staurosira	Fragilariaceae		Bacillariophyceae
498StaR04	Staurosira_construens_var_subsalina	Staurosira	Fragilariaceae		Bacillariophyceae
451StaR03	Staurosira_elliptica	Staurosira	Fragilariaceae		Bacillariophyceae
509StaR04	Staurosira_elliptica	Staurosira	Fragilariaceae		Bacillariophyceae
638StaK06	Staurosira_elliptica	Staurosira	Fragilariaceae		Bacillariophyceae
681StaK09	Staurosira_elliptica	Staurosira	Fragilariaceae		Bacillariophyceae
876SteR05	Stephanodiscus_hantzschii	Stephanodiscus	Stephanodiscaceae		Coscinodiscophyceae
709SurK12	Surirella_angusta	Surirella	Surirellaceae		Bacillariophyceae
768SurN01	Surirella_angusta	Surirella	Surirellaceae		Bacillariophyceae
002SurP01	Surirella_brebissonii	Surirella	Surirellaceae		Bacillariophyceae
843SurN04	Surirella_brebissonii_var_brebissonii	Surirella	Surirellaceae		Bacillariophyceae
290SurC06	Surirella_brebissonii_var_kuetzingii	Surirella	Surirellaceae		Bacillariophyceae
304SurC07	Surirella_brebissonii_var_kuetzingii	Surirella	Surirellaceae		Bacillariophyceae
320SurW02	Surirella_brebissonii_var_kuetzingii	Surirella	Surirellaceae		Bacillariophyceae
350SurW01	Surirella_brebissonii_var_kuetzingii	Surirella	Surirellaceae		Bacillariophyceae
541SurK02	Surirella_brebissonii_var_kuetzingii	Surirella	Surirellaceae		Bacillariophyceae
655SurK08	Surirella_brebissonii_var_kuetzingii	Surirella	Surirellaceae		Bacillariophyceae
597SurK02	Surirella_minuta	Surirella	Surirellaceae		Bacillariophyceae
604SurK02	Surirella_terricola	Surirella	Surirellaceae		Bacillariophyceae
816SurN02	Surirrela_brebissonii_var_kuetzingii	Surirrela	Surirellaceae		Bacillariophyceae
054SynP04	Synedra_	Synedra	Fragilariaceae		Fragilariophyceae
024SynP02	Synedra_acus	Synedra	Fragilariaceae		Fragilariophyceae
228SynB08	Synedra_acus	Synedra	Fragilariaceae		Fragilariophyceae
668SynK09	Synedra_acus	Synedra	Fragilariaceae		Fragilariophyceae
706SynK11	Synedra_acus	Synedra	Fragilariaceae		Fragilariophyceae
820SynN05	Synedra_acus	Synedra	Fragilariaceae		Fragilariophyceae
651SynK08	Synedra_acus	Synedra	Fragilariaceae		Fragilariophyceae
665SynK09	Synedra_acus	Synedra	Fragilariaceae		Fragilariophyceae
033SynP02	Synedra_acus	Synedra	Fragilariaceae		Fragilariophyceae
046SynP04	Synedra_vaucheriae	Synedra	Fragilariaceae		Fragilariophyceae
043SynP04	Synedra_perminuta	Synedra	Fragilariaceae		Fragilariophyceae
027SynP02	Synedra_radians	Synedra	Fragilariaceae		Fragilariophyceae
823SynN05	Synedra_sp	Synedra	Fragilariaceae		Fragilariophyceae
061SynP05	Synedra_ulna	Synedra	Fragilariaceae		Fragilariophyceae
091SynP07	Synedra_ulna	Synedra	Fragilariaceae		Fragilariophyceae
041SynP04	Synedra_vaucheriae	Synedra	Fragilariaceae		Fragilariophyceae
042SynP04	Synedra_vaucheriae	Synedra	Fragilariaceae		Fragilariophyceae
146TabB04	Tabellaria_flocculosa	Tabellaria	Tabellariaceae		Bacillariophyceae
013TabP02	Tabellaria_flocculosa	Tabellaria	Tabellariaceae		Bacillariophyceae
107TabB02	Tabellaria_flocculosa	Tabellaria	Tabellariaceae		Bacillariophyceae
112TabB08	Tabellaria_flocculosa	Tabellaria	Tabellariaceae		Bacillariophyceae
136TabB03	Tabellaria_flocculosa	Tabellaria	Tabellariaceae		Bacillariophyceae
161TabB04	Tabellaria_flocculosa	Tabellaria	Tabellariaceae		Bacillariophyceae
179TabB05	Tabellaria_flocculosa	Tabellaria	Tabellariaceae		Bacillariophyceae
189TabB06	Tabellaria_flocculosa	Tabellaria	Tabellariaceae		Bacillariophyceae
252TabB09	Tabellaria_flocculosa	Tabellaria	Tabellariaceae		Bacillariophyceae
257TabB10	Tabellaria_flocculosa	Tabellaria	Tabellariaceae		Bacillariophyceae
614TabP11	Tabellaria_flocculosa	Tabellaria	Tabellariaceae		Bacillariophyceae
753ThaR05	Thalassiosira_pseudonana	Thalassiosira	Stephanodiscaceae		Coscinodiscophyceae
302ThaC07	Thalassiosira_weissflogii	Thalassiosira	Stephanodiscaceae		Coscinodiscophyceae
530ThaK02	Thalassiosira_weissflogii	Thalassiosira	Stephanodiscaceae		Coscinodiscophyceae
883ThaR05	Thalassiosira_weissflogii	Thalassiosira	Stephanodiscaceae		Coscinodiscophyceae
502TryR04	Tryblionella_debilis	Tryblionella	Bacillariaceae		Bacillariophyceae
215UlnB08	Ulnaria_acus	Ulnaria	Fragilariaceae		Bacillariophyceae
220UlnB08	Ulnaria_ulna	Ulnaria	Fragilariaceae		Bacillariophyceae
344UlnT01	Ulnaria_ulna	Ulnaria	Fragilariaceae		Bacillariophyceae
358UlnW01	Ulnaria_ulna	Ulnaria	Fragilariaceae		Bacillariophyceae
657UlnK08	Ulnaria_ulna	Ulnaria	Fragilariaceae		Bacillariophyceae
698UlnK10	Ulnaria_ulna	Ulnaria	Fragilariaceae		Bacillariophyceae
702UlnK11	Ulnaria_ulna	Ulnaria	Fragilariaceae		Bacillariophyceae
720UlnK13	Ulnaria_ulna	Ulnaria	Fragilariaceae		Bacillariophyceae
836UlnN05	Ulnaria_ulna	Ulnaria	Fragilariaceae		Bacillariophyceae
881UlnR05	Ulnaria_ulna	Ulnaria	Fragilariaceae		Bacillariophyceae
No_Match	No_Match	No_Match	No_Match	No_Match	No_Match
